city,state,population_2024_estimate,population_year,scraped_date,data_source
Spokane Valley,WA,108267,2024,2025-12-22,Wikipedia – List of United States cities by population
Jurupa Valley,CA,108154,2024,2025-12-22,Wikipedia – List of United States cities by population
Bend,OR,106926,2024,2025-12-22,Wikipedia – List of United States cities by population
West Covina,CA,106920,2024,2025-12-22,Wikipedia – List of United States cities by population
Boulder,CO,106803,2024,2025-12-22,Wikipedia – List of United States cities by population
Palm Coast,FL,106729,2024,2025-12-22,Wikipedia – List of United States cities by population
Lee's Summit,MO,106419,2024,2025-12-22,Wikipedia – List of United States cities by population
Dearborn,MI,106377,2024,2025-12-22,Wikipedia – List of United States cities by population
Green Bay,WI,106311,2024,2025-12-22,Wikipedia – List of United States cities by population
St. George,UT,106288,2024,2025-12-22,Wikipedia – List of United States cities by population
Woodbridge,NJ,106101,2024,2025-12-22,Wikipedia – List of United States cities by population
Brockton,MA,105788,2024,2025-12-22,Wikipedia – List of United States cities by population
Renton,WA,105543,2024,2025-12-22,Wikipedia – List of United States cities by population
Sandy Springs,GA,105505,2024,2025-12-22,Wikipedia – List of United States cities by population
Rialto,CA,104918,2024,2025-12-22,Wikipedia – List of United States cities by population
El Monte,CA,104639,2024,2025-12-22,Wikipedia – List of United States cities by population
Vacaville,CA,103994,2024,2025-12-22,Wikipedia – List of United States cities by population
Fishers,IN,103986,2024,2025-12-22,Wikipedia – List of United States cities by population
South Bend,IN,103713,2024,2025-12-22,Wikipedia – List of United States cities by population
Carmel,IN,103606,2024,2025-12-22,Wikipedia – List of United States cities by population
Yuma,AZ,103559,2024,2025-12-22,Wikipedia – List of United States cities by population
Burbank,CA,103533,2024,2025-12-22,Wikipedia – List of United States cities by population
Lynn,MA,103489,2024,2025-12-22,Wikipedia – List of United States cities by population
Quincy,MA,103434,2024,2025-12-22,Wikipedia – List of United States cities by population
El Cajon,CA,103291,2024,2025-12-22,Wikipedia – List of United States cities by population
Fayetteville,AR,103134,2024,2025-12-22,Wikipedia – List of United States cities by population
Suffolk,VA,103105,2024,2025-12-22,Wikipedia – List of United States cities by population
San Mateo,CA,103006,2024,2025-12-22,Wikipedia – List of United States cities by population
Chico,CA,102911,2024,2025-12-22,Wikipedia – List of United States cities by population
Inglewood,CA,102774,2024,2025-12-22,Wikipedia – List of United States cities by population
Wichita Falls,TX,102372,2024,2025-12-22,Wikipedia – List of United States cities by population
